bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0320,0.0613421,62.94,61.96,65.3
0321,0.05882338,60.35,59.41,62.82
0322,0.07572436,77.69,76.48,79.47
0323,0.0746642,76.61,75.41,78.42
0324,0.07136705,73.22,72.08,75.18
0325,0.05883772,60.37,59.43,62.83
0326,0.0740553,75.98,74.8,77.82
0327,0.07978397,81.86,80.58,83.47
0328,0.08366878,85.84,84.51,87.3
0329,0.0864343,88.68,87.3,90.02
0330,0.09160766,93.99,92.52,95.12
0331,0.07277875,74.67,73.51,76.57
0332,0.07977014,81.84,80.57,83.46
0333,0.0741819,76.11,74.92,77.95
0334,0.06105919,62.65,61.67,65.02
0335,0.07361766,75.53,74.35,77.39
0336,0.09987544,102.47,100.87,103.26
0337,0.06496192,66.65,65.61,68.87
0338,0.0828706,85.03,83.7,86.51
0339,0.07938046,81.44,80.17,83.07
0340,0.08409097,86.28,84.93,87.71
0341,0.07588777,77.86,76.65,79.63
0342,0.07899058,81.04,79.78,82.69
0343,0.07309533,75.0,73.83,76.88
0344,0.09187125,94.26,92.79,95.38
0345,0.07623733,78.22,77.0,79.97
0346,0.06039626,61.97,61.0,64.37
0347,0.07260336,74.49,73.33,76.39
0348,0.07880511,80.85,79.59,82.5
0349,0.06310702,64.75,63.74,67.04
0350,0.07257794,74.46,73.3,76.37
0351,0.07659264,78.58,77.36,80.32
0352,0.07026492,72.09,70.97,74.09
0353,0.07441512,76.35,75.16,78.18
0354,0.07842113,80.46,79.21,82.13
0355,0.0747268,76.67,75.47,78.49
0356,0.06237042,63.99,62.99,66.31
0357,0.07890499,80.96,79.69,82.6
0358,0.07582994,77.8,76.59,79.57
0359,0.08394485,86.13,84.78,87.57
0360,0.07718158,79.19,77.95,80.91
0361,0.07472478,76.67,75.47,78.48
0362,0.06548221,67.18,66.14,69.38
0363,0.06552582,67.23,66.18,69.42
0364,0.0784428,80.48,79.23,82.15
0365,0.05787149,59.38,58.45,61.88
0366,0.06219945,63.82,62.82,66.14
0367,0.06376358,65.42,64.4,67.69
0368,0.08626815,88.51,87.13,89.86
0369,0.06536413,67.06,66.02,69.26
0370,0.0695953,71.4,70.29,73.43
0371,0.06451361,66.19,65.16,68.42
0372,0.06664944,68.38,67.32,70.53
0373,0.08416262,86.35,85.0,87.78
0374,0.07453697,76.47,75.28,78.3
0375,0.07956754,81.64,80.36,83.26
0376,0.08165591,83.78,82.47,85.31
0377,0.05191017,53.26,52.43,56.01
0378,0.08156213,83.68,82.38,85.22
0379,0.07402208,75.95,74.76,77.79
0380,0.07866869,80.71,79.46,82.37
0381,0.06678765,68.52,67.46,70.66
0382,0.06394375,65.61,64.58,67.86
0383,0.09609077,98.59,97.05,99.53
0384,0.06730617,69.06,67.98,71.18
0385,0.06028938,61.86,60.89,64.26
0386,0.05485383,56.28,55.4,58.91
0387,0.06641885,68.15,67.08,70.3
0388,0.07670624,78.7,77.47,80.44
0389,0.07758254,79.6,78.36,81.3
0390,0.07699092,78.99,77.76,80.72
0391,0.08314934,85.31,83.98,86.78
0392,0.08835005,90.65,89.23,91.91
0393,0.06743132,69.18,68.11,71.3
0394,0.06316796,64.81,63.8,67.1
0395,0.08159588,83.72,82.41,85.25
0396,0.06960319,71.41,70.3,73.44
0397,0.08139442,83.51,82.21,85.06
0398,0.08103002,83.14,81.84,84.7
0399,0.06625778,67.98,66.92,70.14
0400,0.07077274,72.61,71.48,74.59
0401,0.10466893,107.39,105.72,107.99
0402,0.09687591,99.39,97.84,100.31
0403,0.07407169,76.0,74.81,77.84
0404,0.06037095,61.94,60.97,64.34
0405,0.06380714,65.47,64.45,67.73
0406,0.06647622,68.2,67.14,70.36
0407,0.0784525,80.49,79.24,82.16
0408,0.08140874,83.53,82.22,85.07
0409,0.06259766,64.23,63.22,66.54
0410,0.07503384,76.98,75.78,78.79
0411,0.06574285,67.45,66.4,69.64
0412,0.08197588,84.11,82.8,85.63
0413,0.098741,101.31,99.73,102.15
0414,0.08105775,83.17,81.87,84.72
0415,0.06798246,69.75,68.66,71.84
0416,0.08718158,89.45,88.05,90.76
0417,0.08879248,91.1,89.68,92.34
0418,0.08132737,83.44,82.14,84.99
0419,0.06928624,71.09,69.98,73.13
0420,0.06825507,70.03,68.94,72.11
0421,0.10702405,109.81,108.09,110.31
0422,0.08313529,85.3,83.97,86.77
0423,0.06793985,69.71,68.62,71.8
0424,0.07919757,81.26,79.99,82.89
0425,0.07220628,74.08,72.93,76.0
0426,0.06335899,65.01,63.99,67.29
0427,0.06749822,69.25,68.17,71.36
0428,0.0730044,74.9,73.73,76.79
0429,0.05351748,54.91,54.05,57.59
0430,0.06995145,71.77,70.65,73.78
0431,0.06984082,71.66,70.54,73.67
0432,0.05680171,58.28,57.37,60.83
0433,0.06981036,71.63,70.51,73.64
0434,0.07052737,72.36,71.23,74.35
0435,0.06813467,69.91,68.82,71.99
0436,0.0711919,73.04,71.9,75.0
0437,0.07246251,74.35,73.19,76.26
0438,0.09805832,100.61,99.04,101.47
0439,0.07828075,80.32,79.06,81.99
0440,0.09052924,92.88,91.43,94.06
0441,0.10036075,102.97,101.36,103.74
0442,0.06649091,68.22,67.16,70.37
0443,0.09790791,100.45,98.89,101.33
0444,0.08534882,87.57,86.2,88.95
0445,0.08917806,91.5,90.07,92.72
0446,0.05107749,52.41,51.59,55.19
0447,0.06924298,71.04,69.94,73.08
0448,0.07021874,72.04,70.92,74.05
0449,0.07889206,80.94,79.68,82.59
0450,0.08379421,85.97,84.63,87.42
0451,0.09257696,94.98,93.5,96.07
0452,0.07290946,74.81,73.64,76.7
0453,0.06302495,64.66,63.66,66.96
0454,0.08124549,83.36,82.06,84.91
0455,0.06348425,65.13,64.12,67.41
0456,0.0716645,73.53,72.38,75.47
0457,0.06156653,63.17,62.18,65.52
0458,0.09635949,98.86,97.32,99.8
0459,0.05225591,53.61,52.78,56.35
0460,0.08497481,87.18,85.82,88.58
0461,0.09646698,98.98,97.43,99.91
0462,0.08272626,84.88,83.55,86.37
0463,0.05989837,61.46,60.5,63.88
0464,0.08022866,82.31,81.03,83.91
