bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
ANSURI_mal_0207,68.63,177.35,39.43,91.11,76.24,94.59,114.34,53.93,36.59,36.77,21.98,27.62,16.55,16.08,62.45,27.98,87.04,41.69,44.25,22.08,54.77,0.0,0.0
ANSURI_mal_0208,92.85,176.1,43.79,108.45,99.43,107.62,123.42,66.52,41.86,40.6,23.41,30.74,17.94,15.17,62.14,27.47,85.64,42.35,42.89,25.78,58.57,0.0,0.0
ANSURI_mal_0209,84.69,176.31,41.48,104.27,94.45,105.55,113.06,62.47,40.43,35.68,21.41,29.89,17.81,14.95,58.77,27.41,82.9,44.09,42.42,26.19,56.58,0.0,0.0
ANSURI_mal_0210,64.19,178.71,38.82,87.37,73.04,88.46,106.68,54.11,37.39,35.16,21.83,29.15,16.67,14.48,60.24,28.06,88.95,42.19,44.2,20.28,56.58,0.0,0.0
ANSURI_mal_0211,75.55,173.17,41.89,96.41,81.06,97.14,115.5,59.09,41.77,37.98,23.64,30.57,17.09,14.48,56.52,25.1,78.32,42.17,40.41,22.77,58.39,0.0,0.0
ANSURI_mal_0212,67.65,179.29,40.0,90.29,75.08,92.19,110.26,52.61,37.41,35.59,21.38,28.44,17.02,15.29,59.58,25.68,83.37,44.27,43.55,21.34,60.03,0.0,0.0
ANSURI_mal_0213,80.33,180.64,39.46,95.49,84.41,101.94,114.68,63.69,41.49,37.82,22.1,30.88,16.75,14.53,65.53,30.7,93.35,40.24,46.04,22.58,55.48,0.0,0.0
ANSURI_mal_0214,81.93,184.99,44.24,103.07,83.71,96.56,119.87,58.04,38.21,37.42,22.57,32.9,18.5,14.02,66.05,29.96,94.66,41.28,48.28,24.23,56.75,0.0,0.0
ANSURI_mal_0215,71.22,185.92,38.37,88.16,79.31,94.13,114.24,53.57,37.47,35.15,21.85,27.4,17.74,17.71,62.19,28.44,88.39,47.26,44.42,20.28,57.85,0.0,0.0
ANSURI_mal_0216,60.64,170.76,38.04,89.25,74.33,89.2,106.57,52.13,34.38,34.12,21.33,27.73,16.24,14.97,55.61,25.19,80.56,43.36,41.62,20.24,56.9,0.0,0.0
