stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
170.4,67.6,95.0,93.0,80.4,54.8,20.9,38.1,52.5,35.8,31.2
182.6,84.6,101.0,104.8,83.0,62.6,23.5,41.2,58.0,41.1,33.3
172.3,80.0,109.5,96.9,94.5,55.0,21.9,43.7,54.2,37.6,33.9
175.7,81.5,103.9,101.7,89.8,62.7,22.1,40.2,55.0,38.5,31.7
183.4,88.2,102.9,108.0,87.6,65.0,23.7,39.5,59.5,41.8,34.0
175.1,64.9,86.4,91.7,72.5,52.1,22.8,41.6,54.3,36.7,30.7
167.8,85.4,106.2,100.9,90.0,64.3,24.9,40.5,54.7,41.0,37.2
175.8,74.6,96.8,91.4,82.1,57.1,22.2,40.8,57.5,36.0,34.0
163.8,63.1,97.5,90.9,77.6,53.1,21.2,40.2,51.0,34.5,33.0
165.1,56.9,84.6,88.5,70.2,54.7,21.1,36.5,50.3,34.2,27.4
171.5,63.9,88.2,91.6,74.4,53.9,20.4,37.8,53.9,33.3,29.3
167.1,69.7,92.6,97.0,78.8,59.1,21.9,40.7,55.0,38.6,31.0
175.4,88.0,101.3,103.8,90.0,63.9,23.1,40.3,56.5,40.7,35.2
178.6,94.0,104.7,107.3,89.4,68.9,24.5,40.1,58.9,41.4,37.0
194.2,121.7,118.2,113.1,106.4,69.0,24.5,41.0,64.5,42.5,40.5
168.5,65.7,95.8,94.6,78.4,56.0,19.7,37.0,52.3,33.7,30.0
180.4,71.9,93.3,96.0,79.9,56.5,22.4,34.6,58.1,37.5,30.5
175.9,82.3,103.8,99.4,94.8,61.5,21.5,41.5,53.5,37.3,32.9
167.1,74.2,95.1,97.8,80.8,64.5,22.5,40.5,52.0,38.0,33.9
176.9,71.4,96.1,92.0,79.6,55.1,20.9,37.2,58.7,36.2,31.7
168.3,71.9,94.6,95.8,78.5,61.2,22.9,40.8,52.5,37.7,34.2
169.2,65.1,89.7,87.9,73.7,55.0,23.4,38.5,53.7,39.4,31.8
172.2,68.3,92.8,92.9,84.7,56.2,20.6,37.2,54.8,35.4,33.2
162.8,49.9,86.9,80.8,72.0,45.8,18.7,37.1,53.2,30.8,27.5
165.9,66.8,90.7,93.8,80.8,57.0,21.3,37.4,52.3,36.4,30.6
