stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
166.7,53.8,94.3,93.3,78.2,53.9,19.5,35.2,51.4,31.1,26.4
166.1,77.1,103.2,105.1,89.7,66.9,23.1,38.2,52.9,40.8,34.0
156.0,60.2,87.8,100.8,81.7,60.8,20.1,35.0,50.0,35.4,30.0
161.0,71.9,97.1,106.2,90.0,66.9,19.8,40.0,51.9,38.1,32.9
161.0,61.7,90.6,100.9,83.0,62.7,20.5,36.3,49.6,35.0,28.6
168.2,76.1,102.4,106.2,94.7,64.5,22.2,40.3,52.8,41.6,32.1
160.4,73.9,102.8,105.0,95.8,63.8,19.6,38.5,48.7,34.7,33.8
154.0,56.0,88.1,98.1,76.7,56.1,20.2,34.7,47.5,35.3,30.9
163.8,64.7,91.9,94.8,77.7,60.2,21.8,36.3,50.4,40.1,31.8
165.6,72.4,91.8,108.1,89.6,67.8,23.7,37.4,50.2,40.0,31.4
159.7,70.8,111.8,99.2,96.8,59.7,20.7,37.4,50.0,37.1,31.1
174.9,95.3,113.0,110.1,99.7,68.8,25.4,40.5,59.2,41.7,38.4
166.1,74.8,100.2,105.8,87.9,66.3,21.0,36.3,51.9,39.3,33.2
152.6,70.0,103.9,103.0,100.0,68.2,19.9,34.9,47.8,37.3,34.0
158.3,65.5,93.4,107.8,93.1,62.3,21.6,36.3,49.0,36.5,29.2
153.3,49.9,84.4,91.6,74.8,52.7,19.2,34.6,47.6,33.0,25.1
157.5,55.3,82.1,94.0,73.4,58.2,19.7,36.5,50.1,34.7,28.9
177.6,92.4,107.2,117.1,102.1,72.5,23.1,39.5,54.8,39.8,34.3
171.3,71.6,108.4,101.6,87.4,60.2,22.0,38.6,53.4,37.2,31.0
165.3,67.6,91.8,99.2,80.3,62.0,21.8,38.8,50.1,38.4,30.7
151.6,64.1,103.2,101.7,93.5,59.2,20.1,34.3,46.7,34.2,34.2
165.8,66.6,97.1,98.3,81.0,60.6,23.3,39.3,53.9,37.4,30.5
161.7,66.3,102.2,102.1,88.2,60.7,22.3,35.4,50.5,36.9,32.4
168.7,76.3,98.7,108.4,92.0,69.9,22.6,36.2,54.2,39.4,32.9
160.3,71.7,103.6,109.9,108.5,67.5,21.5,36.8,52.5,32.8,33.0
153.9,64.3,99.0,100.3,92.3,59.9,20.6,34.4,46.7,34.8,31.1
160.3,59.1,96.5,97.3,84.0,57.7,20.3,37.2,49.8,35.1,30.0
162.0,52.9,81.7,92.0,78.3,55.0,20.3,35.9,49.4,33.3,27.5
161.7,69.4,99.3,107.6,92.4,64.2,22.1,37.6,49.5,36.7,29.1
160.0,69.9,103.1,104.0,97.2,64.8,21.3,36.6,50.0,34.9,28.0
157.2,59.2,87.7,98.1,77.4,56.6,21.4,36.9,50.8,37.1,28.7
163.2,54.0,81.8,92.6,70.8,57.0,20.6,35.7,49.4,36.5,28.2
169.0,70.1,94.5,109.2,87.9,68.5,21.4,37.7,51.8,37.0,31.5
168.2,68.1,91.6,101.0,83.0,63.8,22.5,38.8,53.2,37.8,29.3
165.7,86.4,105.0,115.0,98.0,71.1,25.6,37.2,52.0,44.4,36.0
167.2,67.2,88.1,101.0,88.3,63.8,20.4,38.9,52.2,35.5,31.1
162.1,55.9,91.2,93.3,75.4,55.2,19.8,37.5,49.7,35.2,26.4
162.3,56.6,85.4,95.6,76.7,54.0,19.6,35.0,48.2,35.0,28.0
163.3,58.5,88.7,95.8,86.8,53.8,22.0,37.5,50.9,33.6,26.8
152.6,62.8,100.5,97.9,93.8,62.1,19.4,35.9,47.9,36.2,32.6
157.0,46.7,82.5,83.6,68.2,49.9,21.0,34.5,48.4,35.0,26.0
161.6,59.9,87.4,97.8,76.2,57.2,22.4,35.5,52.2,36.9,29.3
169.0,64.2,97.2,102.0,80.2,59.8,20.8,37.7,52.7,35.5,29.2
163.7,81.3,102.6,114.4,106.0,69.7,23.5,36.7,49.0,42.1,37.0
171.8,71.9,97.9,106.0,92.2,62.5,21.1,35.3,54.0,34.8,30.9
158.8,54.8,87.3,97.4,78.3,62.0,22.3,35.6,49.4,35.4,26.9
152.0,48.5,84.4,87.7,70.7,52.1,19.0,35.4,45.0,32.0,25.4
161.8,65.8,92.1,106.1,79.5,62.8,21.3,37.9,52.0,35.7,28.7
163.1,75.3,100.0,105.9,86.2,67.9,23.3,38.4,50.0,40.6,32.3
164.2,63.6,93.8,97.4,92.9,60.7,20.9,35.6,52.4,36.0,28.7
171.9,75.2,95.2,105.6,85.8,66.1,20.7,39.8,54.7,37.6,31.9
171.5,75.5,93.1,106.7,78.4,66.4,23.6,40.4,57.3,39.8,30.7
165.3,46.9,81.4,83.2,63.2,47.8,19.0,38.3,52.3,29.4,24.7
159.0,53.7,91.3,95.1,80.9,54.1,19.3,33.9,48.9,32.2,25.7
175.1,75.8,95.0,107.1,91.2,64.9,22.2,38.6,55.5,38.7,31.9
158.3,67.9,95.0,107.9,94.1,66.3,20.1,34.8,51.1,35.6,32.2
162.7,68.4,91.5,105.5,85.4,68.2,20.0,34.5,51.2,37.2,32.7
158.6,67.7,92.3,100.4,88.5,62.6,22.5,39.8,49.6,37.2,31.3
167.5,61.7,90.9,95.7,78.3,56.7,21.0,34.0,50.5,35.2,30.0
160.6,71.7,98.6,104.5,92.7,62.6,21.0,35.8,48.3,37.5,29.3
168.0,64.2,87.0,99.1,78.5,62.6,21.3,38.3,51.7,36.3,30.0
177.3,74.0,94.2,103.1,85.8,62.4,22.7,37.3,57.2,38.7,29.4
168.0,79.2,110.5,101.5,95.8,62.5,23.1,37.8,52.8,35.8,33.1
164.5,58.1,83.8,94.6,70.7,58.5,21.7,37.9,51.6,34.7,27.2
155.8,72.7,108.6,103.7,100.4,63.0,23.3,37.8,47.9,38.0,30.5
