Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1694,73.24,25.52240075,506,422,381.0,998.0,891.0,1031,575,257,765.0,534,818,11.0,23.0,0.526564345,0.892785571,1.157126824
1770,90.48,28.88058987,514,461,387.0,1057.0,989.0,1062,622,259,769.0,559,868,15.0,19.5,0.532768362,0.935666982,1.073811931
1780,76.19,24.04683752,480,481,357.0,997.0,849.0,968,565,279,779.0,554,827,7.0,15.5,0.537640449,0.851554664,1.1401649
1794,82.77,25.71746028,497,424,386.0,1046.0,869.0,972,629,278,795.0,549,823,12.0,15.5,0.523411371,0.830783939,1.118527043
1900,98.87,27.38781163,554,490,405.0,1111.0,954.0,1039,671,267,878.0,604,911,21.0,16.5,0.523157895,0.858685869,1.089098532
1766,90.48,29.01156743,514,469,396.0,1103.0,937.0,1058,645,249,768.0,553,871,22.0,24.0,0.534541336,0.84950136,1.129135539
1866,91.61,26.30992465,536,495,361.0,1009.0,850.0,1052,610,281,842.0,577,893,5.0,12.5,0.534297964,0.842418236,1.237647059
1784,76.64,24.0805164,485,407,372.0,1015.0,845.0,951,589,269,827.0,567,853,8.0,7.5,0.526345291,0.832512315,1.125443787
1754,76.42,24.8397863,519,492,362.0,995.0,807.0,963,605,260,782.0,546,841,8.0,11.0,0.52622577,0.811055276,1.19330855
1740,61.68,20.37257233,441,368,341.0,955.0,760.0,876,527,238,802.0,539,822,10.5,10.0,0.529885057,0.795811518,1.152631579
1809,68.93,21.06352948,447,423,366.0,957.0,808.0,885,538,272,834.0,565,826,9.0,11.0,0.521835268,0.84430512,1.09529703
1800,89.8,27.71604938,527,456,404.0,1084.0,949.0,1086,631,267,830.0,583,875,13.0,19.0,0.508333333,0.875461255,1.144362487
