weight,stature,calf_circumference,biacromial_breadth,bicristal_breadth,waist_circumference,biceps_circumference_flexed
457.0,1558.0,310.0,342.0,232.0,678.0,242.0
724.0,1783.0,365.0,381.0,218.0,806.0,299.0
551.0,1609.0,352.0,352.0,228.0,736.0,270.0
590.0,1649.0,331.0,366.0,213.0,709.0,276.0
528.0,1628.0,336.0,391.0,188.0,671.0,267.0
587.0,1597.0,331.0,367.0,249.0,821.0,265.0
590.0,1640.0,332.0,376.0,226.0,803.0,269.0
575.0,1660.0,363.0,370.0,205.0,740.0,260.0
699.0,1597.0,376.0,352.0,243.0,953.0,310.0
477.0,1569.0,298.0,323.0,216.0,747.0,230.0
555.0,1667.0,354.0,375.0,207.0,708.0,256.0
519.0,1564.0,330.0,344.0,194.0,675.0,263.0
494.0,1535.0,331.0,342.0,210.0,715.0,245.0
541.0,1630.0,345.0,368.0,209.0,692.0,262.0
616.0,1650.0,333.0,390.0,247.0,825.0,273.0
710.0,1578.0,381.0,389.0,243.0,914.0,305.0
559.0,1620.0,330.0,365.0,232.0,745.0,255.0
627.0,1720.0,348.0,396.0,263.0,783.0,282.0
535.0,1651.0,328.0,350.0,248.0,707.0,266.0
502.0,1521.0,344.0,358.0,243.0,733.0,258.0
624.0,1639.0,378.0,348.0,215.0,771.0,272.0
724.0,1660.0,370.0,365.0,262.0,892.0,287.0
538.0,1567.0,345.0,357.0,239.0,705.0,275.0
615.0,1584.0,353.0,367.0,191.0,784.0,300.0
607.0,1538.0,340.0,366.0,203.0,870.0,280.0
627.0,1628.0,376.0,367.0,245.0,784.0,288.0
595.0,1572.0,354.0,363.0,172.0,729.0,308.0
497.0,1560.0,326.0,354.0,183.0,632.0,262.0
801.0,1722.0,383.0,387.0,218.0,912.0,332.0
727.0,1624.0,386.0,378.0,260.0,931.0,300.0
655.0,1695.0,360.0,388.0,250.0,815.0,288.0
563.0,1590.0,326.0,364.0,197.0,792.0,277.0
670.0,1633.0,343.0,353.0,215.0,851.0,305.0
660.0,1605.0,384.0,360.0,215.0,794.0,291.0
628.0,1624.0,363.0,333.0,232.0,818.0,295.0
592.0,1578.0,357.0,345.0,220.0,783.0,282.0
631.0,1708.0,346.0,383.0,220.0,786.0,276.0
533.0,1579.0,352.0,371.0,224.0,676.0,263.0
578.0,1469.0,349.0,362.0,219.0,875.0,283.0
635.0,1544.0,377.0,365.0,248.0,921.0,292.0
595.0,1707.0,345.0,379.0,227.0,698.0,262.0
740.0,1591.0,392.0,360.0,226.0,840.0,326.0
580.0,1715.0,326.0,358.0,206.0,686.0,250.0
734.0,1755.0,359.0,379.0,272.0,912.0,285.0
519.0,1637.0,338.0,352.0,232.0,668.0,262.0
574.0,1620.0,348.0,361.0,212.0,700.0,275.0
706.0,1664.0,346.0,392.0,222.0,898.0,295.0
608.0,1595.0,351.0,355.0,201.0,749.0,281.0
766.0,1702.0,385.0,369.0,222.0,867.0,304.0
654.0,1593.0,361.0,327.0,197.0,852.0,307.0
656.0,1691.0,357.0,382.0,237.0,866.0,285.0
831.0,1635.0,404.0,356.0,221.0,967.0,317.0
706.0,1677.0,397.0,380.0,215.0,766.0,295.0
620.0,1618.0,366.0,345.0,235.0,849.0,265.0
607.0,1595.0,349.0,372.0,200.0,823.0,295.0
605.0,1635.0,359.0,367.0,192.0,741.0,297.0
745.0,1596.0,380.0,373.0,215.0,920.0,315.0
835.0,1694.0,406.0,350.0,249.0,1001.0,328.0
741.0,1680.0,365.0,366.0,190.0,851.0,316.0
701.0,1587.0,361.0,367.0,203.0,934.0,295.0
701.0,1741.0,361.0,378.0,184.0,743.0,276.0
666.0,1657.0,391.0,386.0,234.0,795.0,300.0
667.0,1560.0,388.0,354.0,206.0,865.0,302.0
583.0,1591.0,360.0,345.0,195.0,770.0,263.0
700.0,1601.0,373.0,373.0,237.0,875.0,308.0
722.0,1635.0,369.0,363.0,210.0,910.0,318.0
530.0,1671.0,343.0,382.0,235.0,702.0,252.0
595.0,1566.0,348.0,337.0,203.0,749.0,302.0
511.0,1703.0,322.0,336.0,226.0,659.0,236.0
643.0,1562.0,370.0,350.0,198.0,828.0,310.0
716.0,1632.0,386.0,382.0,249.0,892.0,312.0
687.0,1600.0,372.0,371.0,186.0,877.0,285.0
632.0,1603.0,357.0,367.0,219.0,765.0,272.0
610.0,1652.0,343.0,345.0,225.0,783.0,315.0
595.0,1728.0,349.0,381.0,221.0,725.0,263.0
788.0,1631.0,379.0,377.0,233.0,1032.0,351.0
525.0,1606.0,319.0,348.0,235.0,716.0,268.0
708.0,1741.0,374.0,399.0,203.0,792.0,318.0
598.0,1665.0,358.0,380.0,245.0,788.0,244.0
560.0,1578.0,343.0,357.0,220.0,707.0,266.0
738.0,1688.0,396.0,384.0,215.0,797.0,305.0
613.0,1684.0,364.0,350.0,205.0,708.0,262.0
648.0,1640.0,326.0,376.0,202.0,844.0,283.0
644.0,1602.0,362.0,357.0,216.0,795.0,305.0
622.0,1552.0,357.0,360.0,233.0,825.0,308.0
465.0,1493.0,315.0,352.0,195.0,725.0,256.0
664.0,1597.0,365.0,374.0,189.0,866.0,309.0
550.0,1580.0,366.0,366.0,223.0,713.0,255.0
832.0,1764.0,378.0,372.0,248.0,895.0,296.0
676.0,1598.0,364.0,339.0,256.0,925.0,285.0
667.0,1711.0,363.0,386.0,188.0,774.0,275.0
566.0,1647.0,355.0,345.0,195.0,689.0,268.0
587.0,1541.0,338.0,353.0,187.0,799.0,281.0
657.0,1547.0,393.0,367.0,210.0,833.0,295.0
721.0,1719.0,368.0,386.0,234.0,821.0,281.0
585.0,1544.0,368.0,341.0,226.0,750.0,288.0
487.0,1574.0,321.0,375.0,195.0,661.0,245.0
869.0,1654.0,381.0,342.0,254.0,1047.0,324.0
664.0,1575.0,363.0,355.0,185.0,844.0,320.0
508.0,1566.0,322.0,351.0,246.0,704.0,250.0
502.0,1521.0,352.0,323.0,185.0,669.0,248.0
659.0,1722.0,363.0,398.0,236.0,811.0,290.0
732.0,1658.0,392.0,381.0,208.0,795.0,336.0
635.0,1487.0,353.0,340.0,178.0,813.0,309.0
546.0,1576.0,358.0,355.0,176.0,682.0,268.0
670.0,1746.0,383.0,400.0,271.0,820.0,287.0
719.0,1588.0,379.0,348.0,230.0,1011.0,300.0
695.0,1647.0,378.0,390.0,224.0,833.0,300.0
531.0,1578.0,332.0,361.0,162.0,685.0,251.0
587.0,1690.0,357.0,364.0,226.0,732.0,260.0
704.0,1658.0,373.0,355.0,233.0,898.0,285.0
552.0,1530.0,354.0,350.0,201.0,803.0,265.0
628.0,1575.0,338.0,365.0,246.0,971.0,273.0
855.0,1714.0,459.0,365.0,213.0,925.0,312.0
602.0,1625.0,360.0,373.0,230.0,756.0,270.0
597.0,1599.0,371.0,375.0,213.0,805.0,288.0
583.0,1697.0,336.0,383.0,220.0,768.0,268.0
756.0,1772.0,406.0,370.0,219.0,812.0,288.0
605.0,1563.0,366.0,355.0,190.0,746.0,270.0
515.0,1454.0,334.0,344.0,198.0,708.0,280.0
635.0,1671.0,341.0,367.0,239.0,835.0,282.0
598.0,1702.0,343.0,366.0,211.0,715.0,270.0
656.0,1675.0,375.0,379.0,216.0,798.0,260.0
619.0,1661.0,360.0,356.0,217.0,704.0,288.0
545.0,1578.0,349.0,357.0,217.0,744.0,285.0
697.0,1683.0,354.0,380.0,190.0,807.0,291.0
668.0,1608.0,372.0,375.0,213.0,737.0,292.0
641.0,1625.0,355.0,382.0,227.0,858.0,263.0
612.0,1737.0,351.0,378.0,258.0,736.0,267.0
571.0,1769.0,328.0,366.0,244.0,679.0,247.0
650.0,1686.0,368.0,361.0,222.0,779.0,290.0
529.0,1590.0,342.0,350.0,191.0,668.0,272.0
474.0,1540.0,306.0,347.0,206.0,664.0,242.0
601.0,1662.0,356.0,365.0,196.0,741.0,275.0
