Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1691,133.79,46.78821087,498,488,570.0,1484.0,1262.0,1432,820,270,741.0,545,852,56.0,64.0,0.519810763,0.850404313,1.134706815
1560,74.15,30.46926364,433,403,418.0,1071.0,933.0,1046,636,246,715.0,481,756,25.5,42.0,0.539102564,0.871148459,1.121114684
1678,77.32,27.46046787,431,389,458.0,1175.0,797.0,937,708,239,803.0,540,821,38.0,35.0,0.523837902,0.678297872,1.17565872
1524,61.68,26.55671978,430,373,385.0,1026.0,788.0,949,631,223,744.0,503,803,32.0,30.0,0.498031496,0.768031189,1.204314721
1684,83.67,29.50431898,432,391,421.0,1093.0,832.0,996,686,256,771.0,519,818,44.5,45.5,0.513064133,0.761207685,1.197115385
1697,156.01,54.17373166,488,543,620.0,1687.0,1397.0,1440,1057,301,695.0,535,826,61.0,64.0,0.540365351,0.828097214,1.030780243
1640,56.24,20.91017252,409,359,377.0,936.0,641.0,881,531,235,770.0,513,778,18.0,24.5,0.527439024,0.68482906,1.374414977
1598,75.06,29.39375095,412,390,436.0,1097.0,802.0,956,686,230,745.0,518,816,35.0,22.5,0.551939925,0.731084777,1.19201995
1786,76.42,23.95764494,444,394,436.0,1077.0,722.0,888,626,251,847.0,580,882,27.0,12.0,0.517917133,0.670380687,1.229916898
1575,86.17,34.7372134,434,412,502.0,1242.0,896.0,1017,795,242,760.0,508,776,38.0,29.0,0.51047619,0.721417069,1.135044643
1644,65.76,24.33090024,408,369,396.0,998.0,783.0,939,558,249,769.0,517,792,23.5,24.5,0.523114355,0.784569138,1.199233716
1554,58.96,24.41492789,398,358,393.0,996.0,777.0,847,618,228,709.0,486,747,19.0,14.0,0.526383526,0.780120482,1.09009009
1593,87.98,34.66988539,428,397,474.0,1246.0,815.0,979,767,263,686.0,493,796,26.0,32.5,0.549905838,0.654093098,1.201226994
1734,156.46,52.03614793,493,504,595.0,1565.0,1145.0,1374,957,311,804.0,533,895,64.0,63.0,0.503460208,0.731629393,1.2
1635,51.25,19.17159985,387,339,331.0,891.0,643.0,784,515,244,808.0,525,805,13.0,10.0,0.503975535,0.721661055,1.219284603
1574,52.83,21.32412181,415,314,370.0,958.0,698.0,790,551,237,778.0,523,779,11.0,19.5,0.497458704,0.728601253,1.131805158
