weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
88.2,182.2,39.2,106.1,89.5,116.5,113.7,69.4,41.4,41.6,24.3,29.5,16.4,17.3,59.9,27.2,88.8,44.8,45.8,27.0,56.5,41.6,145.17174603174604
78.6,164.9,37.4,103.1,92.5,114.1,108.2,72.4,41.6,36.2,20.6,28.3,15.3,13.8,58.0,26.2,78.5,42.0,39.4,25.8,54.5,38.0,148.62956204379563
62.2,168.7,34.7,92.4,75.1,98.5,107.7,58.4,37.3,36.2,22.3,25.0,15.9,15.8,54.9,24.5,77.3,39.9,40.7,25.7,55.0,36.4,132.14943396226414
78.2,169.8,39.0,99.9,101.9,111.5,107.2,66.7,40.6,38.7,21.2,27.5,15.4,14.8,56.3,25.4,82.8,47.6,40.7,26.6,55.2,38.2,135.8071174377224
60.8,153.0,35.0,86.5,78.4,106.0,97.4,64.6,41.1,36.4,19.5,28.2,14.5,12.9,52.7,24.2,73.3,38.5,36.6,23.5,57.5,33.7,124.36695278969958
67.4,158.1,37.2,99.8,91.7,102.3,106.7,61.6,40.0,36.8,22.8,27.2,15.2,12.8,51.2,22.8,71.2,40.6,36.1,27.0,53.8,35.9,132.17658862876254
68.6,160.9,36.7,93.0,86.5,103.2,108.4,64.7,41.5,39.1,21.2,27.4,15.5,15.6,55.5,26.0,77.3,41.2,37.5,24.4,56.0,37.0,134.85
67.0,164.4,38.8,93.4,84.7,101.5,103.9,59.7,40.2,36.8,21.3,26.6,15.8,14.5,56.7,26.8,79.8,42.2,41.8,24.4,55.2,37.6,117.60218978102189
63.5,154.8,34.3,85.6,78.5,101.1,101.0,64.4,44.0,39.3,24.5,27.4,15.4,15.5,53.5,25.3,76.0,39.7,38.2,21.3,55.3,36.8,119.20330578512396
77.3,160.6,38.8,97.9,100.4,108.4,106.2,68.2,42.3,41.8,23.7,28.7,16.0,13.3,53.3,23.7,73.2,47.6,38.6,27.0,57.4,36.1,150.46887159533077
55.5,164.2,33.7,85.2,75.9,94.5,98.2,54.3,36.6,35.4,19.6,25.5,15.2,13.4,55.7,24.8,76.3,42.5,42.4,21.6,53.6,36.1,112.51603053435115
